CHANNEL,NETWORK,CATEGORY
171,A2 Educational,UMTV
172,A2 Government,UMTV
173,A2 Public Access,UMTV
174,Leased,UMTV
175,Pop,UMTV
176,Comcast 900,UMTV
177,NBC Universo,UMTV
178,HITN,UMTV
179,TeenNick,UMTV
180,Jewelry Television,UMTV
181,MoviePlex,UMTV
182,RetroPlex,UMTV
183,IndiePlex,UMTV
184,Disney Jr.,UMTV
201,Fox Sports Detroit HD,UMTV
202,ESPN HD,UMTV
203,ESPN2 HD,UMTV
204,ESPNU HD,UMTV
205,CBS Sports HD,UMTV
206,NBA TV HD,UMTV
207,NHL Network HD,UMTV
208,MLB Network HD,UMTV
209,CBET (9-CBC) HD,UMTV
210,Big Ten Network HD,UMTV
211,NFL Network HD,UMTV
212,NBC Sports HD,UMTV
213,TBS HD,UMTV
214,TNT HD,UMTV
215,Bravo HD,UMTV
216,CNBC HD,UMTV
217,QVC HD,UMTV
218,A&E HC,UMTV
219,HGTV HD,UMTV
220,Fuse HD,UMTV
221,IFC HD,UMTV
222,WE TV HD,UMTV
223,Starz Encore HD,UMTV
224,Fox Business Network HD,UMTV
225,Disney XD HD,UMTV
226,ESPNews HD,UMTV
227,MGM HD,UMTV
228,Lifetime HD,UMTV
229,Nickelodeon HD,UMTV
230,Spike HD,UMTV
231,Food Network HD,UMTV
232,Syfy HD,UMTV
233,Universal HD,UMTV
234,BET HD,UMTV
235,CMT HD,UMTV
236,Weather Channel HD,UMTV
237,HLN HD,UMTV
238,TCM HD,UMTV
239,TruTV HD,UMTV
240,Discovery Channel HD,UMTV
241,Nat Geo HD,UMTV
242,USA HD,UMTV
243,Hallmark Channel HD,UMTV
244,HSN HD,UMTV
245,MSNBC HD,UMTV
246,Fox News HD,UMTV
247,FX HD,UMTV
248,Fox Sports 1 HD,UMTV
249,Animal Planet HD,UMTV
250,History HD,UMTV
251,Velocity HD,UMTV
252,AMC HD,UMTV
253,CNN HD,UMTV
254,Golf Channel HD,UMTV
255,Family Channel HD,UMTV
256,Disney Channel HD,UMTV
257,Science HD,UMTV
258,BBC America HD,UMTV
259,Game Show Network HD,UMTV
260,Discovery Family HD,UMTV
261,Bloomberg Television HD,UMTV
262,Oxygen HD,UMTV
263,Sprout HD,UMTV
264,Cooking Channel HD,UMTV
265,DIY Network HD,UMTV
266,Outdoor Channel HD,UMTV
267,Viceland HD,UMTV
268,Investigation Discovery HD,UMTV
269,FYI HD,UMTV
270,LMN HD,UMTV
271,Destination America HD,UMTV
272,Cartoon Network HD,UMTV
273,E! HD,UMTV
274,Travel Channel HD,UMTV
276,Esquire Network HD,UMTV
277,TV One HD,UMTV
278,Comedy Central HD,UMTV
279,MTV HD,UMTV
280,VH1 HD,UMTV
281,AXS TV,UMTV
282,TLC HD,UMTV
283,Palladia HD,UMTV
284,Smithsonian Channel HD,UMTV
301,WJBK (2-Fox) SD,UMTV
302,WMYD (20-IND) SD,UMTV
303,WDIV (4-NBC) SD,UMTV
304,WXYZ (7-ABC) SD,UMTV
305,WCMZ (28-PBS) SD,UMTV
306,WADL (38-IND) SD,UMTV
307,WWJ (62-CBS) SD,UMTV
308,WKAR (PBS) SD,UMTV
309,WKBD (50-CW) SD,UMTV
310,WTVS (56-PBS) SD,UMTV
311,WPXD (31-IND) SD,UMTV
312,WGTE (29-PBS) HD,UMTV
313,WGN America HD,UMTV
